Documento 0
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
[12]		[17]		0.7439418841916662
[12]		[18]		0.3968787730620813
[12]		[19]		0.5834404131525959
[13]		[14]		0.36442444799129675
[13]		[15]		0.24429009775435176
[13]		[16]		0.31380070052667713
[13]		[17]		0.4235392857877321
[13]		[18]		0.22937472812905862
[13]		[19]		0.3371973893031781
[14]		[15]		0.35103752263563015
[14]		[16]		0.45092216805684143
[14]		[17]		0.6086132143239568
[14]		[18]		0.3296045851134446
[14]		[19]		0.48454250609542426
[15]		[16]		0.3022734098148123
[15]		[17]		0.40798081040199696
[15]		[18]		0.2209487776176007
[15]		[19]		0.3248106345022623
[16]		[17]		0.5240681684704408
[16]		[18]		0.28381781265090594
[16]		[19]		0.41723264914248326
[17]		[18]		0.38307114503647144
[17]		[19]		0.563142204362631
[18]		[19]		0.30497900515517823
